Business Name,Business Type,Physical Address,Mailing Address,Telephone,Fax,Operation Status,USDOT Number,MC Number,Out of Service Date,Entity Type,Legal Name,Bussiness Since,Total Trucks,Total Drivers,Carrier Operation,Hazardous Material,MCS-150 Mileage Year,MCS-150 DATE,MCS-150 MILEAGE,Cargo Hauled,Operation Classification
M G MORGAN LOGGING CO LLC            ,Trucking Companies Company                        ,"359 CALHOUN DRABBEVILLE, AL   36310                    ","359 CALHOUN DRABBEVILLE, AL   36310                    ",,,Active,1314075,,None,Carrier,M G MORGAN LOGGING CO LLC,20-DEC-04,1,"1
",Intrastate Non-Hazmat,No,2019,29-AUG-20,15000,"Logs, Poles, Beams, Lumber - ",Private(Property) - 
MARCUS STANFORD            ,Trucking Companies Company                        ,2714 COUNTY RD. 25ABBEVILLE AL 36310                    ,"2714 COUNTY RD. 25,Abbeville, AL, 36310                    ",(334) 687-5043,,,1011034,MC-474322,None,Carrier,MARCUS STANFORD,,,,,,,,,,
"MAULDIN, H. H.            ",Trucking Companies Company                        ,OZARK RD.ABBEVILLE AL 36310                    ,"OZARK RD.,Abbeville, AL, 36310                    ",,,,,MC-9138,None,Carrier,"MAULDIN, H. H.",,,,,,,,,,
"MFC TRANSPORTATION, INC.            ",Trucking Companies Company                        ,P.O. BOX 593ABBEVILLE AL 36310                    ,"P.O. BOX 593,Abbeville, AL, 36310                    ",(205) 585-5507,,,275227,MC-202930,None,Carrier,"MFC TRANSPORTATION, INC.",,,,,,,,,,
MICHAEL WALLACE            ,Trucking Companies Company                        ,1660 COLUMBIA ROADABBEVILLE AL 36310                    ,"PO BOX 220ABBEVILLE, AL   36310                    ",(334) 655-6589,(334) 585-0032,Authorized For Property,1045581,MC-445510,None,Carrier,MICHAEL WALLACE,01-AUG-02,6,"6
",Interstate,No,2018,05-APR-19,552789,"Household Goods - Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - Machinery, Large Objects - Meat - Refrigerated Food - Construction - ",Auth. For Hire - 
MILLS TIMBER HARVESTING INC            ,Trucking Companies Company                        ,"5850 COUNTY ROAD 57 NORTHABBEVILLE, AL   36310                    ","5850 COUNTY ROAD 57 NORTHABBEVILLE, AL   36310                    ",(334) 585-3631,(334) 585-3641,Active,685040,,None,Carrier,MILLS TIMBER HARVESTING INC,10-APR-97,4,"1
",Interstate,No,2019,27-OCT-20,60601,"Logs, Poles, Beams, Lumber - ",Exempt For Hire - 
MORGAN PLUMBING & ELECTRICAL INC            ,Trucking Companies Company                        ,"545 E LAKEVIEW DRABBEVILLE, AL   36310                    ","545 E LAKEVIEW DRABBEVILLE, AL   36310                    ",,,Active,1610048,,None,Carrier,MORGAN PLUMBING & ELECTRICAL INC,22-FEB-07,2,"2
",Intrastate Non-Hazmat,No,,22-FEB-07,,"DIRT, BACKHOE - ",Private(Property) - 
MOSELEY'S INTERNATIONAL INC            ,Trucking Companies Company                        ,"100 MOSELEY ROADABBEVILLE, AL   36310                    ","100 MOSELEY RDABBEVILLE, AL   36310                    ",,,Active,562701,,None,Carrier,MOSELEY'S INTERNATIONAL INC,05-MAY-94,6,"6
",Interstate,No,2019,06-MAR-20,74633,Agricultural/Farm Supplies - GIN REPAIR PARTS - ,Private(Property) - 
MUPRHYS STATION PAINT AND BODY WORKS INC            ,Trucking Companies Company                        ,"1107 HIGHWAY 27 SOUTHABBEVILLE, AL   36310                    ","1107 HIGHWAY 27 SOUTHABBEVILLE, AL   36310                    ",(334) 585-6224,(334) 585-4514,Active,1673090,,None,Carrier,MUPRHYS STATION PAINT AND BODY WORKS INC,02-AUG-07,2,"2
",Intrastate Non-Hazmat,No,2006,02-AUG-07,12000,Motor Vehicles - Drive/Tow away - ,Auth. For Hire - 
"MURPHY TRUCKING L L C                    
Murphy Trucking LLC",Trucking Companies Company                        ,2634 COUNTY ROAD 57 NABBEVILLE AL 36310                    ,"2634 COUNTY ROAD 57 NABBEVILLE, AL   36310                    ",(334) 585-5102,(334) 585-2020,,,,,,,,,,,,,,,Fresh Produce - Meat - Refrigerated Food - ,Auth. For Hire - 
"OLD  REBEL  ENTERPRISES,  L. L. C.            ",Trucking Companies Company                        ,101 OAK DRABBEVILLE AL 36310                    ,"101 OAK DR,Abbeville, AL, 36310                    ",(334) 441-8421,(334) 585-4701,,614937,MC-300543,None,Carrier,"OLD  REBEL  ENTERPRISES,  L. L. C.",,,,,,,,,,
OLD TRAIL TRUCKING INC            ,Trucking Companies Company                        ,"2983 COUNTY ROAD 57 N   ABBEVILLE, AL 36310                    ","2983 COUNTY ROAD 57 N   ABBEVILLE, AL 36310-6301                    ",(334) 726-2461,,,3413480,,None,Carrier,OLD TRAIL TRUCKING INC,30-MAR-20,4,"4
",Interstate,No,,30-MAR-20,,,
PATRICK JONES            ,Trucking Companies Company                        ,"107 PINE STREETABBEVILLE, AL   36310                    ","107 PINE STREETABBEVILLE, AL   36310                    ",,,Active,1689387,,None,Carrier,PATRICK JONES,19-SEP-07,5,"3
",Intrastate Non-Hazmat,No,2007,19-SEP-07,7526,Building Materials - ,Private(Property) - 
PETER WIEBE NEUFELD            ,Trucking Companies Company                        ,"KM 13 CARRETERA A ALVARO OBREGONCUAUHTEMOC CH 31500MX
MX                    ","KM 13 CARRETERA A ALVARO OBREGON,Abbeville, AL                    ",6255863005,6255863028,,868119Z,MX-427979,None,Carrier,PETER WIEBE NEUFELD,,,,,,,,,,
PETERMAN'S TRANSPORT LLC            ,Trucking Companies Company                        ,1680 STATE HIGHWAY 10 WESTABBEVILLE AL 36310                    ,"1680 STATE HWY 10 WESTABBEVILLE, AL   36310                    ",(951) 264-6253,(951) 346-3408,Authorized For Property,1464116,MC-553081,None,Carrier,PETERMAN'S TRANSPORT LLC,16-FEB-06,2,"3
",Interstate,No,2018,06-AUG-19,312164,Fresh Produce - Meat - Refrigerated Food - Beverages - ,Auth. For Hire - 
PHILLIP HAYES FARMS            ,Trucking Companies Company                        ,"110 CARTER RIDGE RDABBEVILLE, AL   36310                    ","110 CARTER RIDGE RDABBEVILLE, AL   36310                    ",,,Active,1803509,,None,Carrier,PHILLIP HAYES FARMS,20-AUG-08,1,"2
",Interstate,No,2016,06-JUL-20,5000,"Grain, Feed, Hay - Agricultural/Farm Supplies - ",Private(Property) - 
PRECISION STEEL INC            ,Trucking Companies Company                        ,"6762 COUNTY ROAD 97ABBEVILLE, AL   36310                    ","6762 COUNTY ROAD 97ABBEVILLE, AL   36310                    ",,,Active,481133,,None,Carrier,PRECISION STEEL INC,23-APR-92,1,"1
",Interstate,No,2019,23-JUN-20,10000,FABRICATED STEEL - ,Private(Property) - 
RANDY L GLANTON            ,Trucking Companies Company                        ,"1867 COUNTY ROAD 40ABBEVILLE, AL   36310                    ","1867 COUNTY ROAD 40ABBEVILLE, AL   36310                    ",(334) 575-5125,,Active,2046970,,None,Carrier,RANDY L GLANTON,17-JUN-10,1,"1
",Intrastate Non-Hazmat,No,,17-JUN-10,,"Logs, Poles, Beams, Lumber - ",Auth. For Hire - 
REX CRADDOCK            ,Trucking Companies Company                        ,"4145 CO RD 29ABBEVILLE, AL   36310                    ","4145 CO RD 29ABBEVILLE, AL   36310                    ",,,Active,1512784,,None,Carrier,REX CRADDOCK,09-JUN-06,1,"1
",Intrastate Non-Hazmat,No,2019,25-APR-20,1000,FIELD DIRT - ,Private(Property) - 
RHETT TAYLOR            ,Trucking Companies Company                        ,"302A DOTHAN ROADABBEVILLE, AL   36310                    ","302A DOTHAN ROADABBEVILLE, AL   36310                    ",,,Active,1491645,,None,Carrier,RHETT TAYLOR,21-APR-06,1,"1
",Intrastate Non-Hazmat,No,,21-APR-06,,Agricultural/Farm Supplies - ,Private(Property) - 
"RICHARDS TRUCKING COMPANY, L.L.C.            ",Trucking Companies Company                        ,3269 CO RD 204ABBEVILLE AL 36310                    ,"3269 CO RD 204,Abbeville, AL, 36310                    ",(334) 585-3048,(334) 714-1645,,535225,MC-242176,None,Carrier,"RICHARDS TRUCKING COMPANY, L.L.C.",,,,,,,,,,
ROBERT JASON BRADLEY            ,Trucking Companies Company                        ,",                      ",",                      ",,,,3460854,,None,Carrier,ROBERT JASON BRADLEY,28-JUL-20,1,"1
",Interstate,No,,28-JUL-20,,,
ROBERT WHITTEN            ,Trucking Companies Company                        ,8178 EAST CO RD 8GORDON AL 36343                    ,"8178 EAST CO RD 8GORDON, AL   36343                    ",(334) 718-8681,,Not Authorized,1725624,MC-635764,None,Carrier,ROBERT WHITTEN,10-JAN-08,2,"2
",Interstate,No,2020,19-MAY-20,50000,Motor Vehicles - ,Auth. For Hire - 
RODNEY THOMPSON            ,Trucking Companies Company                        ,"1806 COLUMBIA RDABBEVILLE, AL   36310                    ","1806 COLUMBIA RDABBEVILLE, AL   36310                    ",(334) 585-3817,,Active,1080416,,None,Carrier,RODNEY THOMPSON,13-DEC-02,1,"1
",Intrastate Non-Hazmat,No,2002,11-AUG-05,75000,WOOD CHIPS - ,Auth. For Hire - 
ROGER BRADLEY            ,Trucking Companies Company                        ,"761 HICKORY GROVE RDABBEVILLE, AL   36310                    ","761 HICKORY GROVE RDABBEVILLE, AL   36310                    ",,,Active,1477212,,None,Carrier,ROGER BRADLEY,22-MAR-06,1,"1
",Interstate,No,2015,30-APR-19,133000,Motor Vehicles - ,Private(Property) - 
RON'S HS SERVICE LLC            ,Trucking Companies Company                        ,118 JEFFERSON DRABBEVILLE AL 36310                    ,"118 JEFFERSON DRIVEABBEVILLE, AL   36310                    ",(334) 441-7221,,Authorized For Property,2828912,MC-944858,None,Carrier,RON'S HS SERVICE LLC,30-NOV-15,1,"1
",Interstate,No,2018,13-APR-19,79061,"General Freight - Metal: sheets, coils, rolls - Motor Vehicles - Building Materials - Machinery, Large Objects - Construction - ",Auth. For Hire - 
SAM W CALHOUN            ,Trucking Companies Company                        ,"898 COUNTY ROAD 37ABBEVILLE, AL   36310-6102                    ","898 COUNTY ROAD 37ABBEVILLE, AL   36310-6102                    ",,,Active,1512803,,None,Carrier,SAM W CALHOUN,09-JUN-06,1,"1
",Intrastate Non-Hazmat,No,,02-MAY-06,,"Logs, Poles, Beams, Lumber - Grain, Feed, Hay - Agricultural/Farm Supplies - ",Private(Property) - 
SHEILA BLANKENSHIP            ,Trucking Companies Company                        ,"ROUTE 2, BOX 219ABBEVILLE AL 36310                    ","ROUTE 2, BOX 219,Abbeville, AL, 36310                    ",(334) 585-2040,,,662009,MC-309956,None,Carrier,SHEILA BLANKENSHIP,,,,,,,,,,
SHIRLEY ROBINSON            ,Trucking Companies Company                        ,"1618 CO RD #84ABBEVILLE, AL   36310                    ","1618 CO RD #84ABBEVILLE, AL   36310                    ",(334) 585-5419,(334) 585-1788,Active,1514329,,None,Carrier,SHIRLEY ROBINSON,13-JUN-06,1,"1
",Intrastate Non-Hazmat,No,,28-APR-06,,HVAC - ,Exempt For Hire - 
"SILVER STAR CONTRACTORS, INC.            ",Trucking Companies Company                        ,1901 U.S. HIGHWAY 431 S.ABBEVILLE AL 36310                    ,"1901 U.S. HIGHWAY 431 S.,Abbeville, AL, 36310                    ",(334) 585-9838,,,822215,MC-498798,None,Carrier,"SILVER STAR CONTRACTORS, INC.",,,,,,,,,,
SOUTHERN FREEDOM LOGISTICS INC            ,Trucking Companies Company                        ,921 OTHO RD ABBEVILLE AL 36310                    ,"921 OTHO RDABBEVILLE, AL   36310                    ",(334) 695-0770,,Out Of Service,3083418,MC-67977,07/22/2019,Carrier,SOUTHERN FREEDOM LOGISTICS INC,05-JAN-18,2,"4
",Interstate,No,2017,12-JUN-18,150000,"General Freight - Metal: sheets, coils, rolls - Motor Vehicles - Drive/Tow away - Logs, Poles, Beams, Lumber - Building Materials - ",Auth. For Hire - 
STEVEN R COX            ,Trucking Companies Company                        ,3975 COUNTY RD 97ABBEVILLE AL 36310                    ,"3975 COUNTY RD 97,Abbeville, AL, 36310                    ",(334) 585-2816,(334) 585-2819,,1417021,MC-536229,None,Carrier,STEVEN R COX,,,,,,,,,,
"TADPOLE POWER , INC            ",Trucking Companies Company                        ,4892 COUNTY ROAD 53ABBEVILLE AL 36310                    ,"4892 COUNTY ROAD 53,Abbeville, AL, 36310                    ",(334) 585-3423,(334) 585-6370,,726858,MC-332813,None,Carrier,"TADPOLE POWER , INC",,,,,,,,,,
TEXAS REDD TRUCKING LLC            ,Trucking Companies Company                        ,"4121 COUNTY ROAD 97ABBEVILLE, AL   36310                    ","4121 COUNTY ROAD 97ABBEVILLE, AL   36310                    ",(334) 695-3754,(334) 460-9380,Active,2465830,,None,Carrier,TEXAS REDD TRUCKING LLC,09-JAN-14,2,"1
",Interstate,No,2019,26-JUL-20,69000,"Logs, Poles, Beams, Lumber - Machinery, Large Objects - ",Exempt For Hire - 
TRACER ELECTRICAL CONTRACTORS INC            ,Trucking Companies Company                        ,"246 INDUSTRIAL PARK CIRCLEABBEVILLE, AL   36310                    ","PO BOX 189ABBEVILLE, AL   36310                    ",,,Active,2409144,,None,Carrier,TRACER ELECTRICAL CONTRACTORS INC,28-MAY-13,1,"3
",Intrastate Non-Hazmat,No,2012,01-JUL-13,60000,General Freight - ,Private(Property) - 
TRIDELTA SYSTEMS LLC            ,Trucking Companies Company                        ,"172 INDUSTRIAL PARK CIRCLEABBEVILLE, AL   36310                    ","172 INDUSTRIAL PARK CIRCLEABBEVILLE, AL   36310                    ",,,Active,1503295,,None,Carrier,TRIDELTA SYSTEMS LLC,18-MAY-06,2,"3
",Intrastate Non-Hazmat,No,2018,17-APR-19,86000,General Freight - ,Private(Property) - 
TURNERS TRUCKING LLC            ,Trucking Companies Company                        ,2059 COUNTY ROAD 90ABBEVILLE AL 36310                    ,"2059 COUNTY ROAD 90ABBEVILLE, AL   36310                    ",(334) 695-2468,,Not Authorized,1662501,MC-941517,None,Carrier,TURNERS TRUCKING LLC,03-JUL-07,1,"1
",Interstate,No,2019,03-FEB-20,1,"General Freight - Household Goods - Metal: sheets, coils, rolls - Motor Vehicles - Drive/Tow away - Logs, Poles, Beams, Lumber - Building Materials - Machinery, Large Objects - Garbage/Refuse - ",Auth. For Hire - 
TWYLA MORGAN            ,Trucking Companies Company                        ,111 OZARK RDABBEVILLE AL 36310                    ,"111 OZARK RD,Abbeville, AL, 36310                    ",(334) 585-5824,(334) 585-2440,,1919655,MC-687190,None,Carrier,TWYLA MORGAN,,,,,,,,,,
W E SEWELL            ,Trucking Companies Company                        ,"132 CO RD 246ABBEVILLE, AL   36310-9620                    ","132 CO RD 246ABBEVILLE, AL   36310-9620                    ",(334) 585-1224,,Active,761906,,None,Carrier,W E SEWELL,29-JUL-98,1,"1
",Interstate,No,2019,01-JUL-20,49377,"Logs, Poles, Beams, Lumber - Machinery, Large Objects - ",Auth. For Hire - 
WALLACE CULVER            ,Trucking Companies Company                        ,"213 CRAWFORD STREETABBEVILLE, AL   36310                    ","213 CRAWFORD STREETABBEVILLE, AL   36310                    ",(334) 441-7440,,Active,2509406,,None,Carrier,WALLACE CULVER,27-MAY-14,3,"3
",Interstate,No,2019,06-AUG-20,56700,"Grain, Feed, Hay - ",Exempt For Hire - 
WAYNE SCOTT LOGGING COMPANY INC            ,Trucking Companies Company                        ,"311 COUNTY ROAD 42 WESTABBEVILLE, AL   36310                    ","PO BOX 201ABBEVILLE, AL   36310                    ",,,Active,657945,,None,Carrier,WAYNE SCOTT LOGGING COMPANY INC,05-SEP-96,1,"1
",Interstate,No,2017,14-MAY-20,1323,"Machinery, Large Objects - ",Private(Property) - 
WILLIAM J. PARR & JUDY S. PARR            ,Trucking Companies Company                        ,2651 CALHOUN DRABBEVILLE AL 36310                    ,"2651 CALHOUN DR,Abbeville, AL, 36310                    ",(334) 695-2905,,,1488649,MC-560472,None,Carrier,WILLIAM J. PARR & JUDY S. PARR,,,,,,,,,,
